Men's Team Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Point Totals - Men,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Alphabetical,,,,,,,By Place,,,,,,,,,,,,
Men's Sabre,,Pts,,Men's Foil,,Pts,,Men's Epee,,Pts,,,,Saber,Foil,Epee,Total,,Place,,Saber,Foil,Epee,Total,,,,,Place Points,,,
1,MICH,320,,1,TAMU,320,,1,NU,320,,,ARMY,305,95,290,690,,1,MICH,320,230,305,855,,,,,1,320,,Men's 3 Weapon Standings
2,ARMY,305,,2,ASU,305,,2,MICH,305,,,ASU,90,305,230,625,,2,CU,265,290,280,835,,,,,2,305,,Women's 3 Weapon Standings
3,SWAT,290,,3,CU,290,,3,ARMY,290,,,BRDLEY,0,0,25,25,,3,ARMY,305,95,290,690,,,,,3,290,,Combined Overall 6 Weapon Standings
4,USC,280,,4,VT,280,,4,CU,280,,,BU,80,195,85,360,,4,RU,230,265,145,640,,,,,4,280,,
5,CU,265,,5,RU,265,,5,NAVY,265,,,CLEM,65,50,65,180,,5,ASU,90,305,230,625,,,,,5,265,,
6,IND,255,,6,UC,255,,6,W&M,255,,,CU,265,290,280,835,,6,MSU,240,205,170,615,,,,,6,255,,
7,MSU,240,,7,UF,240,,7,IND,240,,,DART,130,75,205,410,,7,UF,195,240,180,615,,,,,7,240,,
8,RU,230,,8,MICH,230,,8,ASU,230,,,GWU,50,25,70,145,,8,NAVY,155,145,265,565,,,,,8,230,,
9,UMASS,205,,9,MSU,205,,9,DART,205,,,IND,255,40,240,535,,9,VT,120,280,155,555,,,,,9,205,,
10,UF,195,,10,BU,195,,10,UNH,195,,,IOWA,40,30,40,110,,10,IND,255,40,240,535,,,,,10,195,,
11,UVA,180,,11,TXST,180,,11,UF,180,,,MICH,320,230,305,855,,11,NU,75,130,320,525,,,,,11,180,,
12,UNH,170,,12,USC,170,,12,MSU,170,,,MSU,240,205,170,615,,12,TAMU,85,320,50,455,,,,,12,170,,
13,NAVY,155,,13,WISC,155,,13,VT,155,,,NAVY,155,145,265,565,,13,USC,280,170,0,450,,,,,13,155,,
14,UMD,145,,14,NAVY,145,,14,RU,145,,,NU,75,130,320,525,,14,UNH,170,65,195,430,,,,,14,145,,
15,DART,130,,15,NU,130,,15,UMD,130,,,OBER,0,90,45,135,,15,DART,130,75,205,410,,,,,15,130,,
16,VT,120,,16,UVA,120,,16,TXST,120,,,PITT,35,80,35,150,,16,UC,95,255,60,410,,,,,16,120,,
17,UC,95,,17,ARMY,95,,17,UVM,95,,,RU,230,265,145,640,,17,SWAT,290,35,80,405,,,,,17,95,,
18,ASU,90,,18,OBER,90,,18,UMASS,90,,,SWAT,290,35,80,405,,18,UVA,180,120,75,375,,,,,18,90,,
19,TAMU,85,,19,UMD,85,,19,BU,85,,,TAMU,85,320,50,455,,19,W&M,60,60,255,375,,,,,19,85,,
20,BU,80,,20,PITT,80,,20,SWAT,80,,,TXST,0,180,120,300,,20,BU,80,195,85,360,,,,,20,80,,
21,NU,75,,21,DART,75,,21,UVA,75,,,UC,95,255,60,410,,21,UMD,145,85,130,360,,,,,21,75,,
22,UVM,70,,22,UVM,70,,22,GWU,70,,,UF,195,240,180,615,,22,UMASS,205,45,90,340,,,,,22,70,,
23,CLEM,65,,23,UNH,65,,23,CLEM,65,,,UMASS,205,45,90,340,,23,TXST,0,180,120,300,,,,,23,65,,
24,W&M,60,,24,W&M,60,,24,UC,60,,,UMD,145,85,130,360,,24,UVM,70,70,95,235,,,,,24,60,,
25,GWU,50,,25,CLEM,50,,25,TAMU,50,,,UNH,170,65,195,430,,25,WISC,45,155,30,230,,,,,25,50,,
26,WISC,45,,26,UMASS,45,,26,OBER,45,,,USC,280,170,0,450,,26,CLEM,65,50,65,180,,,,,26,45,,
27,IOWA,40,,27,IND,40,,27,IOWA,40,,,UVA,180,120,75,375,,27,PITT,35,80,35,150,,,,,27,40,,
28,PITT,35,,28,SWAT,35,,28,PITT,35,,,UVM,70,70,95,235,,28,GWU,50,25,70,145,,,,,28,35,,
,,,,29,IOWA,30,,29,WISC,30,,,VT,120,280,155,555,,29,OBER,0,90,45,135,,,,,29,30,,
,,,,30,GWU,25,,30,BRDLEY,25,,,W&M,60,60,255,375,,30,IOWA,40,30,40,110,,,,,30,25,,
,,,,,,,,,,,,,WISC,45,155,30,230,,31,BRDLEY,0,0,25,25,,,,,31,20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Team Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,15,,
,Women's Sabre,,,,Women's Foil,,,,Women's Epee,,,,Point Totals - Women,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Alphabetical,,,,,,,By Place,,,,,,,,,,,,
1,MSU,320,,1,TAMU,320,,1,UVM,320,,,,Saber,Foil,Epee,Total,,Place,,Saber,Foil,Epee,Total,,,,,,,,
2,ASU,305,,2,MICH,305,,2,W&M,305,,,ARMY,205,90,255,550,,1,MICH,240,305,290,835,,,,,,,,
3,UF,290,,3,UVA,290,,3,MICH,290,,,ASU,305,0,180,485,,2,MSU,320,240,240,800,,,,,,,,
4,RU,280,,4,NAVY,280,,4,UC,280,,,BRDLEY,0,70,80,150,,3,UF,290,255,230,775,,,,,,,,
5,NAVY,265,,5,UNH,265,,5,UMASS,265,,,BU,80,195,130,405,,4,UNH,230,265,195,690,,,,,,,,
